dataset,bin_start,bin_end,count
StereoMIS,0.020000,0.025000,7745242
StereoMIS,0.025000,0.030000,49841324
StereoMIS,0.030000,0.035000,31394238
StereoMIS,0.035000,0.040000,36521489
StereoMIS,0.040000,0.045000,53125315
StereoMIS,0.045000,0.050000,61334691
StereoMIS,0.050000,0.055000,72288053
StereoMIS,0.055000,0.060000,84153689
StereoMIS,0.060000,0.065000,98858661
StereoMIS,0.065000,0.070000,94671096
StereoMIS,0.070000,0.075000,93577771
StereoMIS,0.075000,0.080000,114947403
StereoMIS,0.080000,0.085000,141655149
StereoMIS,0.085000,0.090000,120588405
StereoMIS,0.090000,0.095000,99328013
StereoMIS,0.095000,0.100000,159143868
StereoMIS,0.100000,0.105000,121850269
StereoMIS,0.105000,0.110000,165780578
StereoMIS,0.110000,0.115000,198336079
StereoMIS,0.115000,0.120000,156366499
StereoMIS,0.120000,0.125000,82969357
StereoMIS,0.125000,0.130000,101143511
StereoMIS,0.130000,0.135000,59218668
StereoMIS,0.135000,0.140000,47158410
StereoMIS,0.140000,0.145000,43401135
StereoMIS,0.145000,0.150000,40963801
StereoMIS,0.150000,0.155000,36882543
StereoMIS,0.155000,0.160000,33508106
StereoMIS,0.160000,0.165000,28929603
StereoMIS,0.165000,0.170000,28475999
StereoMIS,0.170000,0.175000,25069626
StereoMIS,0.175000,0.180000,30035913
StereoMIS,0.180000,0.185000,10571005
StereoMIS,0.185000,0.190000,29736337
StereoMIS,0.190000,0.195000,25697346
StereoMIS,0.195000,0.200000,8133376
StereoMIS,0.200000,0.205000,3056121
StereoMIS,0.205000,0.210000,1582136
StereoMIS,0.210000,0.215000,637463
StereoMIS,0.215000,0.220000,111017
StereoMIS,0.220000,0.225000,95732
StereoMIS,0.225000,0.230000,48377
StereoMIS,0.230000,0.235000,20272
StereoMIS,0.235000,0.240000,28797
StereoMIS,0.240000,0.245000,9185
StereoMIS,0.245000,0.250000,21706
StereoMIS,0.250000,0.255000,6864
StereoMIS,0.255000,0.260000,7012
StereoMIS,0.260000,0.265000,10982
StereoMIS,0.265000,0.270000,4285
StereoMIS,0.270000,0.275000,5083
StereoMIS,0.275000,0.280000,7805
StereoMIS,0.280000,0.285000,3089
StereoMIS,0.285000,0.290000,3464
StereoMIS,0.290000,0.295000,5776
StereoMIS,0.295000,0.300000,2255
StereoMIS,0.300000,0.305000,616647
