dataset,bin_label,bin_start,bin_end,count,total_count,nan_count,negative_count
EndoVis2018,zero,0.0,0.0,800822,125883324,0,0
EndoVis2018,0.005-0.006,0.005,0.006,1175,125883324,0,0
EndoVis2018,0.006-0.007,0.006,0.007,42467,125883324,0,0
EndoVis2018,0.007-0.008,0.007,0.008,22487,125883324,0,0
EndoVis2018,0.008-0.009,0.008,0.009000000000000001,35393,125883324,0,0
EndoVis2018,0.009-0.010,0.009000000000000001,0.01,74456,125883324,0,0
EndoVis2018,0.010-0.011,0.01,0.011,173985,125883324,0,0
EndoVis2018,0.011-0.012,0.011,0.012,250971,125883324,0,0
EndoVis2018,0.012-0.013,0.012,0.013000000000000001,279771,125883324,0,0
EndoVis2018,0.013-0.014,0.013000000000000001,0.014,293131,125883324,0,0
EndoVis2018,0.014-0.015,0.014,0.015,311520,125883324,0,0
EndoVis2018,0.015-0.016,0.015,0.016,324893,125883324,0,0
EndoVis2018,0.016-0.017,0.016,0.017,321944,125883324,0,0
EndoVis2018,0.017-0.018,0.017,0.018000000000000002,355102,125883324,0,0
EndoVis2018,0.018-0.019,0.018000000000000002,0.019,431389,125883324,0,0
EndoVis2018,0.019-0.020,0.019,0.02,507707,125883324,0,0
EndoVis2018,0.020-0.021,0.02,0.021,629742,125883324,0,0
EndoVis2018,0.021-0.022,0.021,0.022,800290,125883324,0,0
EndoVis2018,0.022-0.023,0.022,0.023,1021811,125883324,0,0
EndoVis2018,0.023-0.024,0.023,0.024,1740459,125883324,0,0
EndoVis2018,0.024-0.025,0.024,0.025,3232869,125883324,0,0
EndoVis2018,0.025-0.026,0.025,0.026000000000000002,4585024,125883324,0,0
EndoVis2018,0.026-0.027,0.026000000000000002,0.027,4396047,125883324,0,0
EndoVis2018,0.027-0.028,0.027,0.028,4033431,125883324,0,0
EndoVis2018,0.028-0.029,0.028,0.029,4278069,125883324,0,0
EndoVis2018,0.029-0.030,0.029,0.03,3948151,125883324,0,0
EndoVis2018,0.030-0.031,0.03,0.031,4054456,125883324,0,0
EndoVis2018,0.031-0.032,0.031,0.032,4634429,125883324,0,0
EndoVis2018,0.032-0.033,0.032,0.033,5006353,125883324,0,0
EndoVis2018,0.033-0.034,0.033,0.034,4622419,125883324,0,0
EndoVis2018,0.034-0.035,0.034,0.035,4368401,125883324,0,0
EndoVis2018,0.035-0.036,0.035,0.036000000000000004,4413322,125883324,0,0
EndoVis2018,0.036-0.037,0.036000000000000004,0.037,3935462,125883324,0,0
EndoVis2018,0.037-0.038,0.037,0.038,3584258,125883324,0,0
EndoVis2018,0.038-0.039,0.038,0.039,3410571,125883324,0,0
EndoVis2018,0.039-0.040,0.039,0.04,3173092,125883324,0,0
EndoVis2018,0.040-0.041,0.04,0.041,2870802,125883324,0,0
EndoVis2018,0.041-0.042,0.041,0.042,2905833,125883324,0,0
EndoVis2018,0.042-0.043,0.042,0.043000000000000003,2994330,125883324,0,0
EndoVis2018,0.043-0.044,0.043000000000000003,0.044,2868271,125883324,0,0
EndoVis2018,0.044-0.045,0.044,0.045,2675200,125883324,0,0
EndoVis2018,0.045-0.046,0.045,0.046,2500318,125883324,0,0
EndoVis2018,0.046-0.047,0.046,0.047,2353552,125883324,0,0
EndoVis2018,0.047-0.048,0.047,0.048,2313765,125883324,0,0
EndoVis2018,0.048-0.049,0.048,0.049,2123267,125883324,0,0
EndoVis2018,0.049-0.050,0.049,0.05,1924202,125883324,0,0
EndoVis2018,0.050-0.051,0.05,0.051000000000000004,1650392,125883324,0,0
EndoVis2018,0.051-0.052,0.051000000000000004,0.052000000000000005,1583326,125883324,0,0
EndoVis2018,0.052-0.053,0.052000000000000005,0.053,1433343,125883324,0,0
EndoVis2018,0.053-0.054,0.053,0.054,1253526,125883324,0,0
EndoVis2018,0.054-0.055,0.054,0.055,1069365,125883324,0,0
EndoVis2018,0.055-0.056,0.055,0.056,978459,125883324,0,0
EndoVis2018,0.056-0.057,0.056,0.057,919756,125883324,0,0
EndoVis2018,0.057-0.058,0.057,0.058,794506,125883324,0,0
EndoVis2018,0.058-0.059,0.058,0.059000000000000004,708769,125883324,0,0
EndoVis2018,0.059-0.060,0.059000000000000004,0.06,667846,125883324,0,0
EndoVis2018,0.060-0.061,0.06,0.061,599980,125883324,0,0
EndoVis2018,0.061-0.062,0.061,0.062,557555,125883324,0,0
EndoVis2018,0.062-0.063,0.062,0.063,564156,125883324,0,0
EndoVis2018,0.063-0.064,0.063,0.064,526580,125883324,0,0
EndoVis2018,0.064-0.065,0.064,0.065,473919,125883324,0,0
EndoVis2018,0.065-0.066,0.065,0.066,402617,125883324,0,0
EndoVis2018,0.066-0.067,0.066,0.067,373139,125883324,0,0
EndoVis2018,0.067-0.068,0.067,0.068,328228,125883324,0,0
EndoVis2018,0.068-0.069,0.068,0.069,297679,125883324,0,0
EndoVis2018,0.069-0.070,0.069,0.07,301345,125883324,0,0
EndoVis2018,0.070-0.071,0.07,0.07100000000000001,301254,125883324,0,0
EndoVis2018,0.071-0.072,0.07100000000000001,0.07200000000000001,305266,125883324,0,0
EndoVis2018,0.072-0.073,0.07200000000000001,0.073,290988,125883324,0,0
EndoVis2018,0.073-0.074,0.073,0.074,269685,125883324,0,0
EndoVis2018,0.074-0.075,0.074,0.075,264732,125883324,0,0
EndoVis2018,0.075-0.076,0.075,0.076,259987,125883324,0,0
EndoVis2018,0.076-0.077,0.076,0.077,266240,125883324,0,0
EndoVis2018,0.077-0.078,0.077,0.078,288956,125883324,0,0
EndoVis2018,0.078-0.079,0.078,0.079,284649,125883324,0,0
EndoVis2018,0.079-0.080,0.079,0.08,295957,125883324,0,0
EndoVis2018,0.080-0.081,0.08,0.081,303048,125883324,0,0
EndoVis2018,0.081-0.082,0.081,0.082,315506,125883324,0,0
EndoVis2018,0.082-0.083,0.082,0.083,337915,125883324,0,0
EndoVis2018,0.083-0.084,0.083,0.084,379916,125883324,0,0
