dataset,bin_start,bin_end,count
C3VD,0.000000,0.005000,2941633
C3VD,0.005000,0.010000,42166137
C3VD,0.010000,0.015000,59432561
C3VD,0.015000,0.020000,55572926
C3VD,0.020000,0.025000,45413263
C3VD,0.025000,0.030000,35545916
C3VD,0.030000,0.035000,28545684
C3VD,0.035000,0.040000,24613780
C3VD,0.040000,0.045000,19787142
C3VD,0.045000,0.050000,17617285
C3VD,0.050000,0.055000,15215308
C3VD,0.055000,0.060000,13559897
C3VD,0.060000,0.065000,10507657
C3VD,0.065000,0.070000,7117943
C3VD,0.070000,0.075000,6517589
C3VD,0.075000,0.080000,5919194
C3VD,0.080000,0.085000,3393454
C3VD,0.085000,0.090000,1862404
C3VD,0.090000,0.095000,1332794
C3VD,0.095000,0.100000,321675
C3VD,0.100000,0.105000,1026594
C3VDv2,0.000000,0.005000,1347947
C3VDv2,0.005000,0.010000,27455422
C3VDv2,0.010000,0.015000,60923429
C3VDv2,0.015000,0.020000,59872464
C3VDv2,0.020000,0.025000,51289975
C3VDv2,0.025000,0.030000,38849640
C3VDv2,0.030000,0.035000,30181707
C3VDv2,0.035000,0.040000,24163991
C3VDv2,0.040000,0.045000,19006385
C3VDv2,0.045000,0.050000,15268688
C3VDv2,0.050000,0.055000,12697739
C3VDv2,0.055000,0.060000,10705719
C3VDv2,0.060000,0.065000,8404705
C3VDv2,0.065000,0.070000,6568827
C3VDv2,0.070000,0.075000,5235522
C3VDv2,0.075000,0.080000,4238462
C3VDv2,0.080000,0.085000,3241446
C3VDv2,0.085000,0.090000,2683269
C3VDv2,0.090000,0.095000,2215480
C3VDv2,0.095000,0.100000,1811067
C3VDv2,0.100000,0.105000,6957168
EndoMapper,0.000000,0.005000,1250
EndoMapper,0.005000,0.010000,1166812
EndoMapper,0.010000,0.015000,7164549
EndoMapper,0.015000,0.020000,23831674
EndoMapper,0.020000,0.025000,45987679
EndoMapper,0.025000,0.030000,53780209
EndoMapper,0.030000,0.035000,62654283
EndoMapper,0.035000,0.040000,36803674
EndoMapper,0.040000,0.045000,37554719
EndoMapper,0.045000,0.050000,28756423
EndoMapper,0.050000,0.055000,15699261
EndoMapper,0.055000,0.060000,14892725
EndoMapper,0.060000,0.065000,13270535
EndoMapper,0.065000,0.070000,7162645
EndoMapper,0.070000,0.075000,9720454
EndoMapper,0.075000,0.080000,4314757
EndoMapper,0.080000,0.085000,4255510
EndoMapper,0.085000,0.090000,3264856
EndoMapper,0.090000,0.095000,2862588
EndoMapper,0.095000,0.100000,2351864
EndoMapper,0.100000,0.105000,2164440
EndoMapper,0.105000,0.110000,1508475
EndoMapper,0.110000,0.115000,1147142
EndoMapper,0.115000,0.120000,1151217
EndoMapper,0.120000,0.125000,1218875
EndoMapper,0.125000,0.130000,32123
EndoMapper,0.130000,0.135000,699466
