dataset,bin_start,bin_end,count
C3VD,0.000000,0.005000,7330794
C3VD,0.005000,0.010000,105293520
C3VD,0.010000,0.015000,148463594
C3VD,0.015000,0.020000,139064205
C3VD,0.020000,0.025000,113641866
C3VD,0.025000,0.030000,88888399
C3VD,0.030000,0.035000,71364467
C3VD,0.035000,0.040000,61561242
C3VD,0.040000,0.045000,49372248
C3VD,0.045000,0.050000,44026631
C3VD,0.050000,0.055000,38069415
C3VD,0.055000,0.060000,33933836
C3VD,0.060000,0.065000,26236910
C3VD,0.065000,0.070000,17775388
C3VD,0.070000,0.075000,16294575
C3VD,0.075000,0.080000,14817926
C3VD,0.080000,0.085000,8500492
C3VD,0.085000,0.090000,4657828
C3VD,0.090000,0.095000,3329885
C3VD,0.095000,0.100000,806484
C3VD,0.100000,0.105000,2570884
C3VDv2,0.000000,0.005000,3630545
C3VDv2,0.005000,0.010000,68753331
C3VDv2,0.010000,0.015000,151624980
C3VDv2,0.015000,0.020000,149806361
C3VDv2,0.020000,0.025000,128283099
C3VDv2,0.025000,0.030000,96933808
C3VDv2,0.030000,0.035000,75693861
C3VDv2,0.035000,0.040000,60439784
C3VDv2,0.040000,0.045000,47698251
C3VDv2,0.045000,0.050000,38126293
C3VDv2,0.050000,0.055000,31630168
C3VDv2,0.055000,0.060000,27017435
C3VDv2,0.060000,0.065000,20988866
C3VDv2,0.065000,0.070000,16271970
C3VDv2,0.070000,0.075000,12922077
C3VDv2,0.075000,0.080000,10672743
C3VDv2,0.080000,0.085000,8147661
C3VDv2,0.085000,0.090000,6715226
C3VDv2,0.090000,0.095000,5523638
C3VDv2,0.095000,0.100000,4527707
C3VDv2,0.100000,0.105000,17418488
EndoMapper,0.000000,0.005000,1250
EndoMapper,0.005000,0.010000,1166812
EndoMapper,0.010000,0.015000,7164549
EndoMapper,0.015000,0.020000,23831674
EndoMapper,0.020000,0.025000,45987679
EndoMapper,0.025000,0.030000,53780209
EndoMapper,0.030000,0.035000,62654283
EndoMapper,0.035000,0.040000,36803674
EndoMapper,0.040000,0.045000,37554719
EndoMapper,0.045000,0.050000,28756423
EndoMapper,0.050000,0.055000,15699261
EndoMapper,0.055000,0.060000,14892725
EndoMapper,0.060000,0.065000,13270535
EndoMapper,0.065000,0.070000,7162645
EndoMapper,0.070000,0.075000,9720454
EndoMapper,0.075000,0.080000,4314757
EndoMapper,0.080000,0.085000,4255510
EndoMapper,0.085000,0.090000,3264856
EndoMapper,0.090000,0.095000,2862588
EndoMapper,0.095000,0.100000,2351864
EndoMapper,0.100000,0.105000,2164440
EndoMapper,0.105000,0.110000,1508475
EndoMapper,0.110000,0.115000,1147142
EndoMapper,0.115000,0.120000,1151217
EndoMapper,0.120000,0.125000,1218875
EndoMapper,0.125000,0.130000,32123
EndoMapper,0.130000,0.135000,699466
EndoMapper,0.135000,0.140000,690073
EndoMapper,0.140000,0.145000,20239
EndoMapper,0.145000,0.150000,521511
EndoMapper,0.150000,0.155000,430066
EndoMapper,0.155000,0.160000,6394
EndoMapper,0.160000,0.165000,310852
EndoMapper,0.165000,0.170000,6158
EndoMapper,0.170000,0.175000,282485
EndoMapper,0.175000,0.180000,327
EndoMapper,0.180000,0.185000,1986
EndoNeRF,0.000000,0.005000,106441
EndoNeRF,0.010000,0.015000,198
EndoNeRF,0.015000,0.020000,43
EndoNeRF,0.020000,0.025000,430
EndoNeRF,0.025000,0.030000,2104
EndoNeRF,0.030000,0.035000,4225
EndoNeRF,0.035000,0.040000,642529
EndoNeRF,0.040000,0.045000,1403969
EndoNeRF,0.045000,0.050000,1560452
EndoNeRF,0.050000,0.055000,1188546
EndoNeRF,0.055000,0.060000,1143955
EndoNeRF,0.060000,0.065000,3221336
EndoNeRF,0.065000,0.070000,3299624
EndoNeRF,0.070000,0.075000,2578108
EndoNeRF,0.075000,0.080000,1368352
EndoNeRF,0.080000,0.085000,1730505
EndoNeRF,0.085000,0.090000,1731350
EndoNeRF,0.090000,0.095000,2558349
EndoNeRF,0.095000,0.100000,1374897
EndoNeRF,0.100000,0.105000,190513
EndoNeRF,0.105000,0.110000,11151
EndoNeRF,0.110000,0.115000,1640
EndoNeRF,0.115000,0.120000,747
EndoNeRF,0.120000,0.125000,623
EndoNeRF,0.125000,0.130000,432
EndoNeRF,0.130000,0.135000,523
EndoNeRF,0.135000,0.140000,567
EndoNeRF,0.140000,0.145000,523
EndoNeRF,0.145000,0.150000,395
EndoNeRF,0.150000,0.155000,233
EndoNeRF,0.155000,0.160000,130
EndoNeRF,0.160000,0.165000,118
EndoNeRF,0.165000,0.170000,110
EndoNeRF,0.170000,0.175000,164
EndoNeRF,0.175000,0.180000,162
EndoNeRF,0.180000,0.185000,193
EndoNeRF,0.185000,0.190000,105
EndoNeRF,0.190000,0.195000,91
EndoNeRF,0.195000,0.200000,60
EndoNeRF,0.200000,0.205000,59
EndoNeRF,0.205000,0.210000,54
EndoNeRF,0.210000,0.215000,39
EndoNeRF,0.215000,0.220000,40
EndoNeRF,0.220000,0.225000,38
EndoNeRF,0.225000,0.230000,30
EndoNeRF,0.230000,0.235000,53
EndoNeRF,0.235000,0.240000,37
EndoNeRF,0.240000,0.245000,8
EndoNeRF,0.245000,0.250000,3
EndoNeRF,0.250000,0.255000,7
EndoNeRF,0.255000,0.260000,3
EndoNeRF,0.260000,0.265000,9
EndoNeRF,0.265000,0.270000,4
EndoNeRF,0.270000,0.275000,8
EndoNeRF,0.275000,0.280000,7
EndoNeRF,0.280000,0.285000,6
EndoNeRF,0.285000,0.290000,12
EndoNeRF,0.290000,0.295000,5
EndoNeRF,0.295000,0.300000,7
EndoSynth,0.000000,0.005000,124247
EndoSynth,0.005000,0.010000,932279
EndoSynth,0.010000,0.015000,3170055
EndoSynth,0.015000,0.020000,7713706
EndoSynth,0.020000,0.025000,7933003
EndoSynth,0.025000,0.030000,8409218
EndoSynth,0.030000,0.035000,8884595
EndoSynth,0.035000,0.040000,9488257
EndoSynth,0.040000,0.045000,9289040
EndoSynth,0.045000,0.050000,9064721
EndoSynth,0.050000,0.055000,9257886
EndoSynth,0.055000,0.060000,10047572
EndoSynth,0.060000,0.065000,10443863
EndoSynth,0.065000,0.070000,11305669
EndoSynth,0.070000,0.075000,12841988
EndoSynth,0.075000,0.080000,16170741
EndoSynth,0.080000,0.085000,19051272
EndoSynth,0.085000,0.090000,21165621
EndoSynth,0.090000,0.095000,22012378
EndoSynth,0.095000,0.100000,21289700
EndoSynth,0.100000,0.105000,19969130
EndoSynth,0.105000,0.110000,17894695
EndoSynth,0.110000,0.115000,15893350
EndoSynth,0.115000,0.120000,13248271
EndoSynth,0.120000,0.125000,10840772
EndoSynth,0.125000,0.130000,8769369
EndoSynth,0.130000,0.135000,6941753
EndoSynth,0.135000,0.140000,4963790
EndoSynth,0.140000,0.145000,3605965
EndoSynth,0.145000,0.150000,2673762
EndoSynth,0.150000,0.155000,1993166
EndoSynth,0.155000,0.160000,1649217
EndoSynth,0.160000,0.165000,1342960
EndoSynth,0.165000,0.170000,1120106
EndoSynth,0.170000,0.175000,901948
EndoSynth,0.175000,0.180000,754000
EndoSynth,0.180000,0.185000,600376
EndoSynth,0.185000,0.190000,499744
EndoSynth,0.190000,0.195000,395218
EndoSynth,0.195000,0.200000,320124
EndoSynth,0.200000,0.205000,261435
EndoSynth,0.205000,0.210000,231063
EndoSynth,0.210000,0.215000,200405
EndoSynth,0.215000,0.220000,190012
EndoSynth,0.220000,0.225000,178134
EndoSynth,0.225000,0.230000,161016
EndoSynth,0.230000,0.235000,129461
EndoSynth,0.235000,0.240000,104010
EndoSynth,0.240000,0.245000,98238
EndoSynth,0.245000,0.250000,88854
EndoSynth,0.250000,0.255000,79270
EndoSynth,0.255000,0.260000,70204
EndoSynth,0.260000,0.265000,54434
EndoSynth,0.265000,0.270000,31582
EndoSynth,0.270000,0.275000,20033
EndoSynth,0.275000,0.280000,9368
EndoSynth,0.280000,0.285000,872
EndoVis2017,0.005000,0.010000,1334851
EndoVis2017,0.010000,0.015000,947222
EndoVis2017,0.015000,0.020000,2243759
EndoVis2017,0.020000,0.025000,6755189
EndoVis2017,0.025000,0.030000,67915692
EndoVis2017,0.030000,0.035000,31634570
EndoVis2017,0.035000,0.040000,21860588
EndoVis2017,0.040000,0.045000,21039128
EndoVis2017,0.045000,0.050000,17719902
EndoVis2017,0.050000,0.055000,16760739
EndoVis2017,0.055000,0.060000,17649873
EndoVis2017,0.060000,0.065000,16857283
EndoVis2017,0.065000,0.070000,21158335
EndoVis2017,0.070000,0.075000,24591251
EndoVis2017,0.075000,0.080000,22684296
EndoVis2017,0.080000,0.085000,22357921
EndoVis2017,0.085000,0.090000,21297245
EndoVis2017,0.090000,0.095000,19017372
EndoVis2017,0.095000,0.100000,15615456
EndoVis2017,0.100000,0.105000,13942576
EndoVis2017,0.105000,0.110000,16659315
EndoVis2017,0.110000,0.115000,16201795
EndoVis2017,0.115000,0.120000,14594448
EndoVis2017,0.120000,0.125000,13889153
EndoVis2017,0.125000,0.130000,13198561
EndoVis2017,0.130000,0.135000,10798112
EndoVis2017,0.135000,0.140000,8472978
EndoVis2017,0.140000,0.145000,7047961
EndoVis2017,0.145000,0.150000,5973084
EndoVis2017,0.150000,0.155000,5201324
EndoVis2017,0.155000,0.160000,4684908
EndoVis2017,0.160000,0.165000,4313975
