dataset,bin_start,bin_end,count
Kidney3D,0.000000,0.005000,387238693
Kidney3D,0.005000,0.010000,170844410
Kidney3D,0.010000,0.015000,32277536
Kidney3D,0.015000,0.020000,828363
Kidney3D,0.020000,0.025000,8393
Kidney3D,0.025000,0.030000,677
Kidney3D,0.030000,0.035000,613
Kidney3D,0.035000,0.040000,930
Kidney3D,0.040000,0.045000,616
Kidney3D_eval,0.000000,0.005000,92496025
Kidney3D_eval,0.005000,0.010000,47319650
Kidney3D_eval,0.010000,0.015000,7324145
Kidney3D_eval,0.015000,0.020000,291502
Kidney3D_eval,0.020000,0.025000,2768
Kidney3D_eval,0.025000,0.030000,204
Kidney3D_eval,0.030000,0.035000,178
Kidney3D_eval,0.035000,0.040000,221
Kidney3D_eval,0.040000,0.045000,200
Kidney3D_train,0.000000,0.005000,294742668
Kidney3D_train,0.005000,0.010000,123524760
Kidney3D_train,0.010000,0.015000,24953391
Kidney3D_train,0.015000,0.020000,536861
Kidney3D_train,0.020000,0.025000,5625
Kidney3D_train,0.025000,0.030000,473
Kidney3D_train,0.030000,0.035000,435
Kidney3D_train,0.035000,0.040000,709
Kidney3D_train,0.040000,0.045000,416
