dataset,sampled_files,value_count,quantile_25,quantile_50,quantile_75,mean,variance
C3VD,10015,1994991826,0.014590,0.024305,0.041157,0.029902,0.000387
C3VDv2,67886,13344141321,0.015720,0.024580,0.040191,0.031034,0.000444
EndoMapper,1919,385688296,0.026699,0.034861,0.048533,0.041004,0.000470
EndoNeRF,156,24124322,0.059905,0.069225,0.084545,0.069935,0.000300
EndoVis2017,2400,513244342,0.038998,0.072591,0.105465,0.076016,0.001599
EndoVis2018,1639,350332267,0.029845,0.038215,0.059663,0.049984,0.000840
Kidney3D,3000,443765338,0.001882,0.003764,0.006541,0.004353,0.000008
SCARED,28857,1201116272,0.010702,0.022052,0.032197,0.022425,0.000201
SimCol,37833,8535546648,0.023901,0.035926,0.053794,0.042123,0.000640
StereoMIS,140171,29862220278,0.301250,0.302500,0.303750,0.300000,0.000000
dVPN,41431,3045126432,0.050425,0.062738,0.080189,0.066577,0.000586
hamlyn,185344,9522773750,0.047715,0.059083,0.079461,0.066556,0.000777
